customerNumber,first_name,last_name,addressLine1,city,state,postalCode,country,phoneNumber
1001,Elva,Dunne,40538 Darwin Alley,Denver,Colorado,80255,US,303-546-7192
1002,Valma,Skule,6632 Butterfield Center,Durham,North Carolina,27705,US,919-137-4455
1003,Ceciley,Mogenot,488 Acker Pass,Tucson,Arizona,85710,US,520-902-1812
1004,Garek,Andrysek,203 Bellgrove Road,New York City,New York,10170,US,646-948-8699
1005,Tara,Maudling,969 Kennedy Trail,El Paso,Texas,79916,US,915-405-8238
1006,Archie,Beddie,2549 Marquette Drive,Fort Lauderdale,Florida,33355,US,754-128-3518
1007,Nicholas,Sudran,077 Atwood Plaza,Arlington,Virginia,22205,US,703-234-5879
1008,Cristen,Lumby,66 Hauk Place,Albuquerque,New Mexico,87105,US,505-122-1781
1009,Appolonia,Dreakin,38196 Mallard Point,Spring,Texas,77386,US,832-210-7736
1010,Moore,Ianelli,32252 Sage Court,New Orleans,Louisiana,70187,US,504-204-0711
1011,Di,Vasyunin,26201 Little Fleur Point,Riverside,California,92513,US,951-715-6974
1012,Lenee,Fowle,163 Toban Road,Las Vegas,Nevada,89178,US,702-674-6288
1013,Prentice,Ridgers,1157 Banding Circle,Peoria,Illinois,61656,US,309-841-2959
1014,Ebenezer,Sharrock,19389 Dapin Avenue,Saint Petersburg,Florida,33705,US,727-351-4174
1015,Alicea,Holmyard,2 Logan Lane,Los Angeles,California,90055,US,213-735-9978
1016,Peder,Syde,89 Graceland Park,Denver,Colorado,80228,US,720-942-1983
1017,Corabel,Yielding,641 Oriole Plaza,Lincoln,Nebraska,68531,US,402-220-1910
1018,Marjory,Castana,36184 Sundown Park,Richmond,Virginia,23208,US,804-533-3534
1019,Pacorro,Gleadhall,9370 Darwin Terrace,Houston,Texas,77070,US,281-860-3769
1020,Dion,Kyncl,01 Loomis Alley,Billings,Montana,59112,US,406-800-7396
1021,Kristine,McGairl,7 La Follette Court,Nashville,Tennessee,37250,US,615-872-6824
1022,Priscilla,Arnoll,9253 Macpherson Road,Las Vegas,Nevada,89160,US,702-603-5914
1023,Jedediah,Otto,86 Petterle Plaza,San Francisco,California,94177,US,415-553-0871
1024,Benito,Kleine,4 Garrison Street,Arlington,Texas,76096,US,214-854-6154
1025,Angele,Pixton,05 Armistice Parkway,Orlando,Florida,32803,US,407-934-2011
1026,Eveline,Petrenko,310 Blaine Junction,Suffolk,Virginia,23436,US,757-893-2273
1027,Colleen,Sessuns,1 Sheridan Center,Brockton,Massachusetts,02305,US,508-771-3917
1028,Hirsch,Clymer,89489 Myrtle Junction,Galveston,Texas,77554,US,281-465-9623
1029,Chrissy,Phizackerly,9 Debra Place,Boston,Massachusetts,02124,US,617-919-9798
1030,Gerti,Sally,0467 Sutherland Pass,Norfolk,Virginia,23504,US,757-141-7456
