customerNumber,first_name,last_name,addressLine1,city,state,postalCode,country,phoneNumber
1001,Berkie,Rogger,1 Longview Point,5 Sloan Junction,New Mexico,87201,US,505-682-5351
1002,Fairfax,Edelman,383 Bluestem Alley,7 Harbort Junction,Minnesota,55557,US,952-426-3317
1003,Esdras,Dabling,4 Farmco Road,651 Loeprich Alley,Iowa,52804,US,563-978-4479
1004,Esther,Pally,00 Hanson Trail,598 Graceland Trail,Wisconsin,53210,US,262-337-5458
1005,Denny,Syvret,7058 Macpherson Road,86552 Mcguire Parkway,California,92030,US,760-103-5425
1006,Portia,Danovich,91455 Vermont Point,124 Melody Drive,Texas,76544,US,254-384-0727
1007,Lian,Barnewall,99 Dryden Way,78 Rockefeller Hill,Kentucky,40266,US,502-334-8593
1008,Jany,Hirsthouse,3 Eagan Circle,0271 Texas Park,Minnesota,55114,US,651-271-7180
1009,Meier,Wragg,6474 Huxley Park,0 Packers Lane,California,92191,US,619-860-4933
1010,Millicent,Carruthers,0 Milwaukee Point,208 Stone Corner Pass,New Mexico,87190,US,505-212-1566
1011,Randy,Thies,777 Hintze Court,9821 Vahlen Junction,Ohio,45408,US,937-602-3935
1012,Sean,Rolfe,5287 Pawling Road,36 John Wall Hill,New York,12237,US,518-609-1602
1013,Abbye,Ralston,6 Roxbury Park,748 Montana Point,Texas,76105,US,682-403-0494
1014,Kelcey,Gillions,9866 Stephen Park,1 Glendale Lane,Pennsylvania,19160,US,215-771-5608
1015,Kendal,Shepeard,90718 Michigan Drive,86758 Annamark Center,Colorado,80241,US,303-683-1214
1016,Joelie,Lowne,94 Northwestern Place,3747 Springview Trail,Louisiana,70810,US,225-216-7564
1017,Jermaine,Nardoni,357 Tomscot Avenue,568 Brickson Park Junction,Virginia,22908,US,434-197-9712
1018,Shanie,Capstake,3 Coleman Way,11 Rusk Park,Massachusetts,01905,US,339-674-9902
1019,Lyndsie,Corbet,79 Charing Cross Street,411 Northport Street,North Carolina,27157,US,336-413-7712
1020,Kally,Gheraldi,421 Red Cloud Terrace,371 Tomscot Parkway,Alaska,99599,US,907-417-2153
1021,Dukey,Paliser,8 Autumn Leaf Drive,5354 Coleman Junction,Oklahoma,73124,US,405-735-0357
1022,Korey,Varran,164 8th Plaza,859 Lindbergh Point,Missouri,64187,US,816-210-5833
1023,Abbott,Vasilmanov,0930 Corben Hill,04 Upham Parkway,Ohio,44720,US,234-463-4854
1024,Dulci,Banbrick,2 Carpenter Hill,23 Ludington Park,Louisiana,71105,US,318-955-0237
1025,Brittani,Hindenburg,234 Prairieview Lane,80993 Springview Park,Montana,59771,US,406-319-0452
1026,Augusto,Tesh,5134 Fieldstone Lane,8 Milwaukee Way,Missouri,64144,US,816-290-3402
1027,Sib,Critchard,00 Magdeline Avenue,20 Logan Avenue,Minnesota,55441,US,952-439-6193
1028,Jody,Sitlinton,8 Bay Avenue,74 Farmco Circle,Indiana,47905,US,765-763-8001
1029,Petey,Lowdham,3 Ridgeway Hill,2405 Vera Street,Utah,84135,US,801-435-9338
1030,Sidney,Oven,4 Sommers Street,261 Fairfield Street,Nevada,89510,US,775-401-1846
1031,Seline,Jentzsch,48443 Village Court,188 Tony Crossing,North Carolina,28278,US,704-396-8138
1032,Heindrick,Beetham,2 Bashford Alley,5993 Derek Plaza,New York,14624,US,585-382-0024
1033,Bell,Tull,2885 Green Lane,79151 Mockingbird Pass,New Mexico,88006,US,505-739-0966
1034,Hailey,Pigden,708 Ridgeway Park,93 Sycamore Way,Texas,78778,US,512-111-3633
1035,Deirdre,Jenson,7 Forest Dale Hill,96671 Glacier Hill Center,Florida,33487,US,305-846-0813
1036,Netta,Marien,9878 Susan Circle,8 Judy Avenue,Iowa,50706,US,319-539-4896
1037,Georgina,Adaway,50686 Jana Road,7 Homewood Pass,Maryland,21290,US,410-983-3383
1038,Bengt,Strowther,0834 Sugar Street,15674 Lakeland Circle,California,90020,US,323-243-5813
1039,Francisca,Dur,12160 Texas Trail,0 Old Gate Alley,Nevada,89135,US,702-794-5372
1040,Tiphanie,Neely,07 Meadow Ridge Terrace,8 Scott Alley,Illinois,62205,US,618-888-3275
1041,Franciskus,Neads,34790 Southridge Circle,214 Mosinee Road,Utah,84409,US,801-253-0707
1042,Jeanette,Alleburton,70 Pepper Wood Parkway,9 Division Court,Mississippi,39210,US,601-758-1131
1043,Tabby,Soro,78 Mariners Cove Center,346 Golf View Street,California,94132,US,415-848-1140
1044,Teodoro,Hargey,19 Merchant Center,6 Porter Place,Texas,77293,US,281-296-6934
1045,Bunni,Macguire,27442 Columbus Plaza,81243 Sheridan Avenue,Tennessee,38104,US,615-300-1327
1046,Stefan,Jersch,545 Summer Ridge Park,66 Westerfield Terrace,Texas,77245,US,713-205-9455
1047,Kitti,Yeo,3950 Upham Center,50651 Pankratz Point,Kansas,66220,US,913-466-0280
1048,Hayes,Rathborne,396 Manufacturers Circle,1 Carberry Place,Minnesota,55166,US,651-513-1615
1049,Bernie,Gronowe,0369 Scott Terrace,04 Jenna Way,Connecticut,06533,US,203-616-9276
1050,Evanne,Murley,9 Pennsylvania Drive,1 Summit Center,Montana,59105,US,406-206-8685
1051,Hurley,Oneal,75 Grayhawk Road,5 Eagan Trail,Texas,75226,US,214-140-4878
1052,Ellis,Crace,8 Randy Junction,2730 Buhler Hill,Oregon,97075,US,503-124-9365
